ResponseId,variable,rating_nr,vignette_nr,actor,disease,action,response,CQ1,CQ2,CQ3,CQ1_correct,CQ2_correct,CQ3_correct,CQ_correct,Gender,BirthYear,occupation,LocationLatitude,LocationLongitude,IPAddress,accuracy,Actor,Action,Rating,Medical Condition,Stage,Condition
R_3IYaIQ1HA9uoIN4,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,1,1977,6,39.840103149414,-86.05480194091801,68.60.237.138,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_2abIUC5Q690ffm5,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1971,5,47.570999145508004,-122.75680541991998,24.113.54.27,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_QbwAXiwr0PQrcI1,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,0,1981,3,43.248596191406,-86.13829803466801,50.107.73.163,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_1F9Wq3YN7HpWm9B,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,1,1985,2,41.144897460938,-73.342796325684,148.75.164.241,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_272PZR4ATJyqV9k,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-3,Rob,Accept,Anx,True,True,True,True,1,1990,3,47.489105224609006,-122.29080200195,216.244.82.210,1.0,Robot,Accept,-3,Anxiety,Rating 1,Anxiety
R_3HFewE2eVqRX4p8,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1955,2,27.241897583007997,-81.356399536133,73.27.201.99,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_1pESDTuNy5w918D,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,1,1989,2,33.493499755859,-86.80460357666,71.45.40.170,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_2PkjrTAIMYItU3M,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,0,1982,5,30.499801635742003,-97.80819702148399,24.28.27.216,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_31ZBkWEJrLRwPLr,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-3,Rob,Accept,Anx,True,True,True,True,1,1994,2,40.787292480469,-73.811302185059,72.80.129.230,1.0,Robot,Accept,-3,Anxiety,Rating 1,Anxiety
R_3sdbFE3J5Xe8isq,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,0,1987,2,32.391998291016,-86.241500854492,174.223.7.144,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_2csslgqgzt5yzyV,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,1,1987,3,36.741104125977,-119.74990081786999,67.181.212.84,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_2z5tNcRvFPnRAXw,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,1,1991,2,41.394607543945,-95.89710235595699,38.104.212.98,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_3lFz7NzyTPtgTd5,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,1,1991,3,41.673095703125,-123.94549560546999,71.84.130.247,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_1pSfcIJCQVgxS9a,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1959,2,42.258605957031,-72.575202941895,24.91.53.217,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_2s59UzXq4R3ARR0,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,1,1982,2,34.029205322266,-118.15129852295,99.203.11.102,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_3spRLQM6BrHlsB6,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1984,2,28.051101684570003,-82.45069885253899,172.58.175.210,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_Bzd8l9sQ70gfXBT,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1950,4,37.681198120117,-122.13449859619,108.192.21.90,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_1g8A0OjLjBE1aDu,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-3,Rob,Accept,Anx,True,True,True,True,1,1987,2,33.480392456055,-82.094100952148,192.138.72.196,1.0,Robot,Accept,-3,Anxiety,Rating 1,Anxiety
R_2QLCySA2KnrHJTZ,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1987,2,32.779205322266,-117.18939971924,70.95.40.142,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_1KveWuqnx9eMHTb,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1994,5,28.491302490234,-81.409698486328,50.88.167.185,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_vJn5laUn47IUXbH,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-1,Rob,Accept,Anx,True,True,True,True,1,1987,2,39.425003051758,-84.498199462891,104.231.44.107,1.0,Robot,Accept,-1,Anxiety,Rating 1,Anxiety
R_3Ph4Dra2ZyrGKrS,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,0,1982,3,41.842895507812,-85.44750213623,24.180.163.93,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_1IWAgu2saA4pdNZ,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1983,2,40.916793823242,-74.637001037598,75.99.158.2,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_1Ld6ron9bLr5pWt,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1995,2,40.832595825195,-74.130699157715,159.89.40.136,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_1mQryo4DRT8M8lJ,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1988,2,40.744094848633,-74.14350128173801,100.35.102.134,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_O3xbzpIiRSKRePn,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1985,3,33.146392822266,-97.09020233154301,47.186.209.7,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_6L6rS8w21ED9Qpr,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,0,1991,2,43.005599975586,-73.862800598145,72.228.42.128,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_RhucT5cF4vN5H0J,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,1,1978,2,40.697494506836,-73.786903381348,207.251.68.137,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_zeB5ajw2DcCrEoF,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1963,2,42.697296142578004,-84.530296325684,162.226.224.9,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_3JwagYCfJ2BwZwX,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,1,1984,2,41.398895263671996,-83.653900146484,174.96.226.62,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_5jQmqEpHAv9PBG9,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,0,1979,2,39.961196899414,-82.998802185059,208.78.15.128,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_3MrPoAwX2WMMOtk,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,0,1952,3,40.218200683594,-74.070999145508,108.50.209.244,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_2SHmKwhkagwbxjT,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1980,2,43.187606811523,-84.855102539062,64.25.192.2,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_2a90FZCz1nUWn3O,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,3,Rob,Accept,Anx,True,True,True,True,1,1978,2,45.094604492188,-93.258201599121,73.242.26.113,1.0,Robot,Accept,3,Anxiety,Rating 1,Anxiety
R_2v9bsn4Ob8ELRdC,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1970,2,32.213195800781,-110.88729858398001,68.226.96.200,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_2rPFsO30Zm1M0DA,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,1,1991,2,41.922393798828004,-87.652397155762,73.246.222.244,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_STBKh4OPyEJiGel,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1990,3,35.51530456543,-79.20069885253899,172.220.228.23,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_dbw3rjmI2eMDvm9,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,0,1987,2,28.600997924805004,-96.69899749755899,72.24.241.207,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_1Ng1lxtnAuCc8W5,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-1,Rob,Accept,Anx,True,True,True,True,1,1982,2,42.963394165039,-85.668098449707,68.48.151.13,1.0,Robot,Accept,-1,Anxiety,Rating 1,Anxiety
R_1QDR5eLFxGm00AL,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,1,1990,2,44.425003051758004,-88.111297607422,161.222.160.8,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_qQtyGXXEs7txst3,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-1,Rob,Accept,Anx,True,True,True,True,1,1996,3,41.768203735352,-80.94750213623,66.61.11.210,1.0,Robot,Accept,-1,Anxiety,Rating 1,Anxiety
R_1mwuCqTjjh0EpJG,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,1,1983,2,40.798797607421996,-84.13189697265601,66.117.213.187,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_1f7azIawy8i1At5,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,1,1984,2,40.807601928711,-79.421997070312,67.186.11.212,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_1F8kF6KIrV80tZz,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,0,Rob,Accept,Anx,True,True,True,True,0,1979,2,38.804306030273,-95.237098693848,173.16.96.32,1.0,Robot,Accept,0,Anxiety,Rating 1,Anxiety
R_3n97xjWTemvgEGq,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,0,1996,1,42.065704345703004,-93.692802429199,69.5.154.1,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_1r2FYq3FrWGCHYQ,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,0,1958,2,38.731399536133,-94.82820129394501,76.7.210.115,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_8G5Xy93FXQWnCJX,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,0,1992,2,41.776992797852,-72.523597717285,72.209.17.198,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_3qe6GViQQ6Ynavn,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,1,Rob,Accept,Anx,True,True,True,True,1,1993,2,40.058303833008,-88.25730133056601,73.22.119.106,1.0,Robot,Accept,1,Anxiety,Rating 1,Anxiety
R_5mB4GeZ1VurJ93X,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,1,1992,2,34.003005981445,-83.347099304199,47.39.141.94,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
R_3EhayHR8hZ6PD3X,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-1,Rob,Accept,Anx,True,True,True,True,1,1977,2,39.617202758789,-75.867797851562,69.143.139.115,1.0,Robot,Accept,-1,Anxiety,Rating 1,Anxiety
R_1hBerVDuOtDZjl6,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,-3,Rob,Accept,Anx,True,True,True,True,0,1990,2,32.778701782227,-96.82170104980499,192.3.7.86,1.0,Robot,Accept,-3,Anxiety,Rating 1,Anxiety
R_Caa1drK39bCrJQJ,A1_1_Rob_Anx_Accept,1,1,Rob,Anx,Accept,2,Rob,Accept,Anx,True,True,True,True,0,1960,3,39.815795898438,-105.01280212402,97.122.212.58,1.0,Robot,Accept,2,Anxiety,Rating 1,Anxiety
