ResponseId,variable,value,picture_order,side,action_nr,actor,actions,action_short,attention_response,attention_correct_x,attention_correct_y,IPAddress,BirthYear,Ethnicity,Gender,Age,Rating,Actor,Action
R_3kH3D3nATEkgL3V,Q3_1_1,Permissible,Q3,1,1,nurse,accept Roberts's decision to not take the medication,Accept,,False,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,1,nurse,Accept
R_3kH3D3nATEkgL3V,Q3_2_1,Not Permissible,Q3,2,1,robot,accept Roberts's decision to not take the medication,Accept,,False,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,-1,robot,Accept
R_3kH3D3nATEkgL3V,Q3_1_2,Permissible,Q3,1,2,nurse,notify a trusted person selected by Robert,Notify Trusted,,False,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,1,nurse,Notify Trusted
R_3kH3D3nATEkgL3V,Q3_2_2,Unsure,Q3,2,2,robot,notify a trusted person selected by Robert,Notify Trusted,,False,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,0,robot,Notify Trusted
R_3kH3D3nATEkgL3V,Q3_1_3,Permissible,Q3,1,3,nurse,notify Robert's doctor about his decision,Notify Doctor,Permissible,True,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,1,nurse,Notify Doctor
R_3kH3D3nATEkgL3V,Q3_2_3,Permissible,Q3,2,3,robot,notify Robert's doctor about his decision,Notify Doctor,Permissible,True,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,1,robot,Notify Doctor
R_3kH3D3nATEkgL3V,Q3_1_4,Not Permissible,Q3,1,4,nurse,repeat the request to take the medication,Repeat,Permissible,False,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,-1,nurse,Repeat
R_3kH3D3nATEkgL3V,Q3_2_4,Permissible,Q3,2,4,robot,repeat the request to take the medication,Repeat,Permissible,True,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,1,robot,Repeat
R_3kH3D3nATEkgL3V,Q3_1_5,Not Permissible,Q3,1,5,nurse,refuse to serve dinner until the medication is taken,Refuse Dinner,Not Permissible,True,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,-1,nurse,Refuse Dinner
R_3kH3D3nATEkgL3V,Q3_2_5,Permissible,Q3,2,5,robot,refuse to serve dinner until the medication is taken,Refuse Dinner,Permissible,True,0.8333333333333334,129.137.96.4,2002,White,Male,19.0,1,robot,Refuse Dinner
