ResponseId,Gender,BirthYear,Occupation,IPAddress
R_3IYaIQ1HA9uoIN4,1,1977,6,68.60.237.138
R_3IYaIQ1HA9uoIN4,1,1977,6,68.60.237.138
R_2abIUC5Q690ffm5,1,1971,5,24.113.54.27
R_2abIUC5Q690ffm5,1,1971,5,24.113.54.27
R_QbwAXiwr0PQrcI1,0,1981,3,50.107.73.163
R_QbwAXiwr0PQrcI1,0,1981,3,50.107.73.163
R_1F9Wq3YN7HpWm9B,1,1985,2,148.75.164.241
R_1F9Wq3YN7HpWm9B,1,1985,2,148.75.164.241
R_272PZR4ATJyqV9k,1,1990,3,216.244.82.210
R_272PZR4ATJyqV9k,1,1990,3,216.244.82.210
R_3HFewE2eVqRX4p8,0,1955,2,73.27.201.99
R_3HFewE2eVqRX4p8,0,1955,2,73.27.201.99
R_1pESDTuNy5w918D,1,1989,2,71.45.40.170
R_1pESDTuNy5w918D,1,1989,2,71.45.40.170
R_2PkjrTAIMYItU3M,0,1982,5,24.28.27.216
R_2PkjrTAIMYItU3M,0,1982,5,24.28.27.216
R_31ZBkWEJrLRwPLr,1,1994,2,72.80.129.230
R_31ZBkWEJrLRwPLr,1,1994,2,72.80.129.230
R_3sdbFE3J5Xe8isq,0,1987,2,174.223.7.144
R_3sdbFE3J5Xe8isq,0,1987,2,174.223.7.144
R_2csslgqgzt5yzyV,1,1987,3,67.181.212.84
R_2csslgqgzt5yzyV,1,1987,3,67.181.212.84
R_2z5tNcRvFPnRAXw,1,1991,2,38.104.212.98
R_2z5tNcRvFPnRAXw,1,1991,2,38.104.212.98
R_3lFz7NzyTPtgTd5,1,1991,3,71.84.130.247
R_3lFz7NzyTPtgTd5,1,1991,3,71.84.130.247
R_1pSfcIJCQVgxS9a,0,1959,2,24.91.53.217
R_1pSfcIJCQVgxS9a,0,1959,2,24.91.53.217
R_2s59UzXq4R3ARR0,1,1982,2,99.203.11.102
R_2s59UzXq4R3ARR0,1,1982,2,99.203.11.102
R_3spRLQM6BrHlsB6,0,1984,2,172.58.175.210
R_3spRLQM6BrHlsB6,0,1984,2,172.58.175.210
R_Bzd8l9sQ70gfXBT,0,1950,4,108.192.21.90
R_Bzd8l9sQ70gfXBT,0,1950,4,108.192.21.90
R_1g8A0OjLjBE1aDu,1,1987,2,192.138.72.196
R_1g8A0OjLjBE1aDu,1,1987,2,192.138.72.196
R_2QLCySA2KnrHJTZ,0,1987,2,70.95.40.142
R_2QLCySA2KnrHJTZ,0,1987,2,70.95.40.142
R_1KveWuqnx9eMHTb,0,1994,5,50.88.167.185
R_1KveWuqnx9eMHTb,0,1994,5,50.88.167.185
R_vJn5laUn47IUXbH,1,1987,2,104.231.44.107
R_vJn5laUn47IUXbH,1,1987,2,104.231.44.107
R_3Ph4Dra2ZyrGKrS,0,1982,3,24.180.163.93
R_3Ph4Dra2ZyrGKrS,0,1982,3,24.180.163.93
R_1IWAgu2saA4pdNZ,1,1983,2,75.99.158.2
R_1IWAgu2saA4pdNZ,1,1983,2,75.99.158.2
R_1Ld6ron9bLr5pWt,0,1995,2,159.89.40.136
R_1Ld6ron9bLr5pWt,0,1995,2,159.89.40.136
R_1mQryo4DRT8M8lJ,1,1988,2,100.35.102.134
R_1mQryo4DRT8M8lJ,1,1988,2,100.35.102.134
R_O3xbzpIiRSKRePn,0,1985,3,47.186.209.7
R_O3xbzpIiRSKRePn,0,1985,3,47.186.209.7
R_6L6rS8w21ED9Qpr,0,1991,2,72.228.42.128
R_6L6rS8w21ED9Qpr,0,1991,2,72.228.42.128
R_RhucT5cF4vN5H0J,1,1978,2,207.251.68.137
R_RhucT5cF4vN5H0J,1,1978,2,207.251.68.137
R_zeB5ajw2DcCrEoF,1,1963,2,162.226.224.9
R_zeB5ajw2DcCrEoF,1,1963,2,162.226.224.9
R_3JwagYCfJ2BwZwX,1,1984,2,174.96.226.62
R_3JwagYCfJ2BwZwX,1,1984,2,174.96.226.62
R_5jQmqEpHAv9PBG9,0,1979,2,208.78.15.128
R_5jQmqEpHAv9PBG9,0,1979,2,208.78.15.128
R_3MrPoAwX2WMMOtk,0,1952,3,108.50.209.244
R_3MrPoAwX2WMMOtk,0,1952,3,108.50.209.244
R_2SHmKwhkagwbxjT,1,1980,2,64.25.192.2
R_2SHmKwhkagwbxjT,1,1980,2,64.25.192.2
