IPAddress,ResponseId,BirthYear,Major,Political,Ethnicity,Gender
216.8.206.17,R_3fZuwrAYKZ57aEW,2002,Criminal Justice and Psychology,5,White,Female
52.124.36.227,R_BDNvcdEWsbQElz3,2002,Political Science,1,White,Male
129.137.96.17,R_1258LNobd8SBIBO,2001,Business Undecided,6,White,Male
129.137.96.12,R_1H7tVuBvkgYLYEK,2002,Biology,6,White,Male
74.83.61.198,R_3F2U16N9IDpaqwX,2002,Nursing,4,Black or African American,Female
52.124.36.227,R_3smNUCcZpQw0LLj,2001,Information Technology,5,White,Male
74.140.16.161,R_3O7ybgAUydi59ys,2002,nursing,4,Black or African American,Female
129.137.96.18,R_yyGpuZU777mSWyZ,2001,construction management,2,White_Other_Middle Eastern,Male
74.215.6.92,R_W9bR7HDyYdqnWpP,2002,Archaeology ,2,White,Male
129.137.96.8,R_0ooIBQ7izMNpc9b,2002,biology ,5,White_Other_hispanic/latino ,Female
129.137.96.21,R_337LavyMkQIzNPD,2002,Sports Administration,5,White,Male
129.137.96.21,R_2z8Cnu7kHUHPvyU,2002,Sports Administration,5,White,Male
174.97.127.252,R_3FQHeey3yrYQD68,2001,Criminology,4,White,Male
71.72.121.96,R_2YrC4Lf9yadL9OB,1998,Biology,4,Asian,Male
74.215.45.142,R_27VBVfF6KCCk0Hj,2002,business undecided,4,White_Asian,Male
