IPAddress,ResponseId,BirthYear,Ethnicity,Gender
64.121.102.112,R_32PXFu5A2FDpZLY,1991,White,Male
74.137.230.120,R_1LXXsSjRM4Ww7Pg,1999,White,Male
84.123.67.205,R_27kxiqIWbINdtGq,1997,White,Male
12.198.49.139,R_2wRFGlu5HeDZsbd,1992,White,Male
66.243.213.19,R_1E5s5iZTuF9lnje,1958,White,Female
63.75.254.28,R_1rPJO1tNwDKjAQ6,1992,White,Male
24.254.218.60,R_2TnPw0h0B3zE1IL,1990,White,Male
35.170.33.146,R_12JRzQJd1MO8EHh,1973,White,Male
174.246.16.199,R_2q3QnCb6O4GBkAP,1954,White,Female
45.71.19.151,R_3Ptp8Ov9oc9BZiZ,1975,White,Female
64.62.219.194,R_2dmPcfPZMTjpkcV,1991,White,Male
68.201.121.191,R_3OT6YovHTrPZHeV,1957,White,Female
176.234.128.198,R_9GKwMvIP4ibG6YN,1989,White,Male
104.222.210.128,R_1gtkF8KPJl10UKZ,1989,White,Male
65.27.6.26,R_Tk1MmAsMQRPqbTP,1988,White,Female
208.203.212.109,R_2RPbA3Rfx2dBlEj,1985,White,Male
191.34.142.31,R_1Lcbh4ToxkHMkeM,1986,White,Female
200.7.119.55,R_3KNoxVWt9DcQy81,2002,White,Male
50.231.89.169,R_O1ML9HLMf12ookV,1986,White,Female
208.203.212.226,R_3rUOAWNtrLmnlpf,1985,White,Male
73.186.40.114,R_1f0Jl7ALOdbxeFX,1964,White,"Other (optional: specify)_I don't use stereotypes to discuss sex, since that's regressive, ascientific and harmful.  I am an adult, human, female "
45.20.101.163,R_1hRJv5I6JBvyEl1,1993,White,Male
73.240.82.174,R_OEhmJ4ioJ2Iztq9,1986,White,Male
68.63.20.188,R_3fIbTNGeEdyJLiM,1982,White,Male
159.118.122.42,R_3oSzk8fUTa7NCEA,1985,Black or African American,Female
172.220.244.5,R_2wirTyPpKmTYyds,1994,White,Female
73.207.115.107,R_1mnnO05axzUSMRH,1988,White,Male
73.236.40.189,R_27QdNwGqetDUGoL,1960,White,Male
67.247.68.1,R_3EgLpltzGS5M8R8,1993,White,Male
73.173.103.253,R_3Rlrf9XK36NPg7f,1994,White,Male
73.207.115.107,R_25tI97vP1bL4XiG,1988,White,Male
63.75.254.239,R_1pEhjwfVB8VZCyZ,1991,Asian,Male
89.187.171.228,R_3gSmDXlkNrczpfB,1985,Asian,Female
196.17.65.43,R_1gef2aLIR82kqWZ,1992,White,Male
12.198.49.126,R_2fATsy9E8m0WFA0,1992,White,Female
70.179.211.39,R_3hbitaJFDPWr1EK,1972,White_Black or African American,Female
76.185.187.47,R_3sADXMmXruNIVJI,1981,Other_arab mexican,Male
68.8.163.160,R_1nNmHxgyg2CnVk2,1982,White,Male
74.89.203.50,R_2qeKnBSmyxANSho,1968,White,Male
206.54.198.154,R_AdqsgozRvV7hDwd,1990,White,Female
65.33.125.243,R_2Svq1cE7y9jgW5u,1992,Black or African American,Male
12.198.49.167,R_2OJyHLS0Fn3dib4,1990,White,Male
157.46.127.20,R_2aE7HLd9gZg71kD,1991,White,Male
59.90.244.218,R_1BVmAl0kbbWphnW,1985,Asian,Female
198.210.79.214,R_10wkhb9WtTH34yk,1985,White,Male
186.204.242.85,R_1l5LV8AJU0vFTjl,1986,White,Male
68.226.100.203,R_1jE2noxzu7ajFu6,1995,White,Male
103.58.116.178,R_yEeZI9x8p1UXD0d,1989,Asian,Female
49.37.184.66,R_1CfHcD6mIsk6lBH,1986,Asian,Male
