ResponseId,Gender,Occupation,BirthYear,Country,IPAddress
R_22VxhfIpgEa8e7i,Female,Student,1989,Germany ,78.50.210.184
R_2YmiWAwcFvbs1td,Female,Student,1989,Germany ,37.5.142.5
R_3vXfeo3xOPD7kq1,Female,Unemployed,1992,Colombia ,201.184.34.220
R_xc0cHNw2M2mKrC1,Male,Employee,1981,Colombia ,191.95.252.90
R_W26sayZ2kwvt5C1,Female,Employee,1979,France ,83.200.35.104
R_3spibPR0ex6HBFa,Male,Unemployed,1982,Colombia ,201.216.29.234
R_D0sIz5S1KfFMorT,Male,Employee,1980,Colombia ,190.252.60.2
R_1QFNkj638374BeF,Female,Employee,1981,United Kingdom ,188.29.164.201
R_yQKuBjsfrVYEI01,Female,Employee,1980,Germany ,93.206.71.5
R_27k8Tutkj8X9ToF,Female,Employee,1989,South Africa ,41.13.4.125
R_VOIlFlVQ4wHzMgp,Female,Employee,1965,Germany ,80.171.91.40
R_1JDzU29bYx2WgaB,Female,Employee,1984,Colombia ,181.134.21.0
R_1lzy946diicGqu0,Female,Employee,1981,Germany ,89.204.153.208
R_2P6jLyHpi2aUjOC,Male,Self-employed,1981,Australia ,123.243.65.23
R_31KPiWwSKRIyVQX,Male,Self-employed,1981,Colombia ,186.31.54.172
R_sT2LilogGXWdBGV,Female,Student,1990,Germany ,77.186.77.104
R_2y9NL5LcWYS7HCm,Female,Student,1994,Germany ,78.50.212.52
R_1Cxb1GurjQbNv04,Female,Employee,1979,Colombia ,152.201.55.198
R_1jp0idxUIDYIrgN,Male,Employee,1980,United States ,98.26.119.102
R_3KpSfvb5FzX9I49,Female,Employee,1981,Colombia ,191.79.203.132
R_RIbKXWNlodA57hv,Male,Self-employed,1981,Colombia ,186.115.175.236
R_12amojjokEacMsR,Female,Student,1991,Germany ,87.181.210.186
R_11hFeuzgCkSjFXt,Male,Employee,1984,Germany ,93.211.102.47
R_2AWJXuOtlerLqJZ,Male,Employee,1980,Colombia ,190.25.122.143
R_3PweScf5nDtM3J0,Male,Student,1982,Germany ,78.53.232.90
R_wRentFZTCuWcjv3,Male,Employee,1978,Colombia ,177.252.132.107
R_wKIuypmwNNT5hnj,Male,Employee,1984,Canada ,65.94.30.234
