IPAddress,ResponseId,BirthYear,Major,Politics,Ethnicity,Gender
74.83.217.215,R_1E7pMka0qrama0N,2000,Exploratory,5,White,Female
129.137.96.15,R_UckR58XVbjg8hzj,2001,Psychology,4,White,Genderqueer/Gender Non-Conforming
70.62.248.202,R_UoLTSNaBG1bhftD,1997,Education,4,White_Asian,Female
129.137.96.8,R_2f9RDtWbZJ7GYUZ,2002,Nursing ,2,White_Black or African American,Female
129.137.96.21,R_saEddz3f6tZ4MM1,2001,Nursing,1,White,Female
129.137.96.14,R_3s4bDaIBbzFp9ym,2001,Nurse,4,White,Male
24.164.95.62,R_1Hi57FmeEo1Dmen,2001,nutrition and dietetics ,4,White,Female
129.137.96.10,R_V1D3ZpsUANHfYGZ,2002,Neuroscience,4,White,Female
129.137.28.237,R_3JmIx33zvTUflLp,1999,Biology,4,White,Male
184.54.71.3,R_2CHydS6nnTf5L1S,1997,Computer Science,2,White,Male
216.68.109.176,R_tDp4PGjd5EdtnXz,2002,nursing,6,White,Female
129.137.28.245,R_31GlPAadw7upkPU,2002,Psychology,3,White,Female
204.110.16.10,R_31pcsK8oMAZ8WvN,1998,nursing,5,White,Female
65.189.77.223,R_30pgFrkgPoftmut,2002,Health Science,5,White,Female
129.137.28.240,R_2v82JdsKUO6eyUZ,2001,Nursing,6,White,Female
129.137.96.7,R_2ffdTBGk3wSa0K1,2002,Nursing,3,White,Female
129.137.96.9,R_1GJOYUZ8EXKX1j2,2000,Neurobiology,4,White,Male
129.137.96.20,R_26fLbIcCwkCOhmC,2002,Interior Design (DAAP),1,White,Female
129.137.96.12,R_YXFSO6wQnaGXG25,2001,Medical Sciences,3,White,Female
129.137.96.16,R_3p3W13SeB33JecZ,2002,Nursing,5,White,Female
49.15.179.85,R_2sZLiEaabIriy1W,2001,NEUROSCIENCE,3,Asian,Female
24.164.95.62,R_1o5AYe2O4lyaUMb,2001,Nutrition and Dietetics ,4,White,Female
71.67.105.61,R_1K1Ni89OYoE01GI,2000,Biological Sciences,3,Asian,Female
