V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,MTurkCode,Q31,A1_1_Rob_Anx_Accept,A1_2_Rob_Sciz_Accept,A1_3_Rob_Anx_Force,A1_4_Rob_Sciz_Force,A1_5_Perca_Anx_Accept,A1_6_Perca_Sciz_Accept,A1_7_Perca_Anx_Force,A1_8_Perca_Sciz_Force,Ethical1_Robot_1,Ethical1_Perscare_1,CQ1,CQ2,CQ3,A2_1_Rob_Anx_Accept,A2_2_Rob_Sciz_Accept,A2_3_Rob_Anx_Force,A2_4_Rob_Sciz_Force,A2_5_Perca_Anx_Accept,A2_6_Perca_Sciz_Accept,A2_7_Perca_Anx_Force,A2_8_Perca_Sciz_Force,Ethical2_Robot_1,Ethical2_Perscare_1,Gender,BirthYear,occupation,LocationLatitude,LocationLongitude,LocationAccuracy
R_1gu6GdNdEKR6Ja9,Default Response Set,Anonymous, , , ,1,4/24/2018 16:01:50,4/24/2018 16:03:02,1,87892970,1, , , ,1, , , , ,3, ,0,1,2, , , , , , , ,1, ,0,1,2010,1,53.550003051758,10,-1
R_32JEN6R0GsdHTo6,Default Response Set,Anonymous, , , ,1,4/24/2018 16:11:55,4/24/2018 16:14:09,1,13321337,1, , , ,1, , , , ,2, ,1,0,2, , , , , , , ,1, ,0,1,2009,3,53.550003051758,10,-1
R_24LS4YNx6GiBcX9,Default Response Set,Anonymous, , ,73.1.76.197,0,4/24/2018 16:38:05,4/24/2018 16:38:41,1,47421863,1, , , , , , , ,1, ,1,1,1,4, , , ,1, , , , ,0, ,1,1993,2,26.946701049805,-80.217002868652,-1
R_23e4rOvlr1LUc0K,Default Response Set,Anonymous, , ,107.77.197.139,0,4/24/2018 16:38:05,4/24/2018 16:38:54,1,885592,1, , , , , , ,1, , ,1,0,1,1, , ,1, , , , , ,-1, ,1,1990,2,32.778701782227,-96.821701049805,-1
R_2c8wrbtprH1OHeC,Default Response Set,Anonymous, , ,198.108.218.174,0,4/24/2018 16:37:52,4/24/2018 16:39:03,1,87926315,1, , , , , , , ,1, ,-1,0,0,4, , , ,1, , , , ,-2, ,1,1999,1,45.201095581055,-85.012001037598,-1
R_20PfR6zcDIUvmcP,Default Response Set,Anonymous, , ,209.131.80.103,0,4/24/2018 16:38:09,4/24/2018 16:39:05,1,84579685,1, , , , , , , ,1, ,1,0,0,4, , , ,1, , , , ,-2, ,1,1992,3,40.158203125,-80.255302429199,-1
R_2QzKn2witUFIPvq,Default Response Set,Anonymous, , ,167.177.39.8,0,4/24/2018 16:38:02,4/24/2018 16:39:08,1,4581322,1, , , ,1, , , , ,-2, ,1,0,2, , , , , , , ,1, ,-3,0,1987,2,45.050598144531,-93.244598388672,-1
R_4PH6lrWtKcohsqJ,Default Response Set,Anonymous, , ,68.35.50.136,0,4/24/2018 16:38:00,4/24/2018 16:39:09,1,2403252,1, , , , ,1, , , , ,3,0,1,1,1, , , , , , , ,3, ,1,1981,3,34.87370300293,-87.80899810791,-1
R_xt5BuxEpUpH9CFj,Default Response Set,Anonymous, , ,74.98.211.120,0,4/24/2018 16:37:54,4/24/2018 16:39:14,1,79425732,1, , , , , , ,1, , ,-2,0,0,1, , ,1, , , , , ,-2, ,0,1978,3,40.459594726562,-79.835800170898,-1
R_1g6idIqla2eP4w0,Default Response Set,Anonymous, , ,186.94.230.35,0,4/24/2018 16:38:19,4/24/2018 16:39:17,1,92087247,1, , , ,1, , , , ,0, ,1,1,3, , , , , , , ,1, ,-1,1,1990,2,8,-66,-1
R_2B2j7RF9OorXVvd,Default Response Set,Anonymous, , ,120.29.100.138,0,4/24/2018 16:38:01,4/24/2018 16:39:19,1,24328291,1, , , , ,1, , , , ,-2,0,1,1,1, , , , , , , ,-1, ,1,1961,2,15.149993896484,120.58331298828,-1
R_31FeecHnovWzBhU,Default Response Set,Anonymous, , ,24.218.192.81,0,4/24/2018 16:38:27,4/24/2018 16:39:20,1,55523287,1, , , , ,1, , , , ,0,0,1,1,1, , , , , , , ,0, ,0,1991,5,41.30940246582,-72.924003601074,-1
R_yDNSl9YbTs2Dty9,Default Response Set,Anonymous, , ,73.51.191.49,0,4/24/2018 16:38:14,4/24/2018 16:39:21,1,90136798,1, , , , , ,1, , , ,0,0,1,4, ,1, , , , , , ,0, ,1,1992,2,41.887603759766,-87.63680267334,-1
R_1QN2dRyTGZ9gRcf,Default Response Set,Anonymous, , ,150.231.246.1,0,4/24/2018 16:38:07,4/24/2018 16:39:22,1,52013230,1, ,1, , , , , , ,0, ,1,1,4, , , , , ,1, , , ,-1,0,1972,2,40.308395385742,-76.69539642334,-1
R_2tKDexSKIF2XHxm,Default Response Set,Anonymous, , ,192.35.35.34,0,4/24/2018 16:38:25,4/24/2018 16:39:24,1,96550809,1, , , , ,1, , , , ,1,0,1,1,1, , , , , , , ,0, ,1,1989,2,41.141204833984,-73.263702392578,-1
R_2f3CMfwbK9EIM0g,Default Response Set,Anonymous, , ,71.201.227.109,0,4/24/2018 16:38:23,4/24/2018 16:39:26,1,70164097,1, , , , , , ,1, , ,-3,0,0,1, , ,1, , , , , ,-3, ,0,1987,3,41.930999755859,-88.009002685547,-1
R_qEOcdU7mPy9iGSB,Default Response Set,Anonymous, , ,108.198.89.164,0,4/24/2018 16:38:07,4/24/2018 16:39:29,1,72850796,1, ,1, , , , , , ,0, ,1,1,4, , , , , ,1, , , ,0,1,1989,2,32.583801269531,-97.414199829102,-1
R_3VOmsmT7RLyhmzn,Default Response Set,Anonymous, , ,104.1.157.63,0,4/24/2018 16:38:25,4/24/2018 16:39:29,1,93579275,1, , ,1, , , , , ,-3, ,1,0,1, , , , , , ,1, , ,-3,0,1995,1,35.788696289062,-78.654899597168,-1
