StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3#1_1,Q3#1_2,Q3#1_3,Q3#1_4,Q3#1_5,Q3#1_6,Q3#2_1,Q3#2_2,Q3#2_3,Q3#2_4,Q3#2_5,Q3#2_6,Q14#1_1,Q14#1_2,Q14#1_3,Q14#1_4,Q14#1_5,Q14#1_6,Q14#2_1,Q14#2_2,Q14#2_3,Q14#2_4,Q14#2_5,Q14#2_6,Q6,Q7,Q8_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_6_TEXT,disease,FL_3_DO_FL_8,FL_3_DO_FL_9,FL_3_DO_FL_10,FL_13_DO_main_survey_nurse_left,FL_13_DO_main_survey_robot_left
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Not to let Robert watch TV until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Not to let Robert watch TV until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Not to let Robert watch TV until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Not to let Robert watch TV until the medication is taken",What year were you born?,What is your major?,Here is a 7-point scale on which the political views that people might hold are arranged from extremely liberal (left) to  extremely conservative (right). Where would you place yourself on this scale? - Scale,What is your gender identity? You may select multiple options. - Selected Choice - Male,What is your gender identity? You may select multiple options. - Selected Choice - Female,What is your gender identity? You may select multiple options. - Selected Choice - Transgender,What is your gender identity? You may select multiple options. - Selected Choice - Genderqueer/Gender Non-Conforming,What is your gender identity? You may select multiple options. - Selected Choice - Prefer not to say,What is your gender identity? You may select multiple options. - Selected Choice - Other (optional: specify),What is your gender identity? You may select multiple options. - Other (optional: specify) - Text,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - White,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Black or African American,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - American Indian or Alaska Native,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Asian,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Native Hawaiian or Pacific Islander,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Other,Choose one or more ethnic backgrounds that you consider yourself to be: - Other - Text,disease,FL_3 - Block Randomizer - Display Order - FL_8,FL_3 - Block Randomizer - Display Order - FL_9,FL_3 - Block Randomizer - Display Order - FL_10,FL_13 - Block Randomizer - Display Order - main_survey_nurse_left,FL_13 - Block Randomizer - Display Order - main_survey_robot_left
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2#1_1""}","{""ImportId"":""QID2#1_2""}","{""ImportId"":""QID2#1_3""}","{""ImportId"":""QID2#1_4""}","{""ImportId"":""QID2#1_5""}","{""ImportId"":""QID2#1_6""}","{""ImportId"":""QID2#2_1""}","{""ImportId"":""QID2#2_2""}","{""ImportId"":""QID2#2_3""}","{""ImportId"":""QID2#2_4""}","{""ImportId"":""QID2#2_5""}","{""ImportId"":""QID2#2_6""}","{""ImportId"":""QID14#1_1""}","{""ImportId"":""QID14#1_2""}","{""ImportId"":""QID14#1_3""}","{""ImportId"":""QID14#1_4""}","{""ImportId"":""QID14#1_5""}","{""ImportId"":""QID14#1_6""}","{""ImportId"":""QID14#2_1""}","{""ImportId"":""QID14#2_2""}","{""ImportId"":""QID14#2_3""}","{""ImportId"":""QID14#2_4""}","{""ImportId"":""QID14#2_5""}","{""ImportId"":""QID14#2_6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10"",""choiceId"":""1""}","{""ImportId"":""QID10"",""choiceId"":""2""}","{""ImportId"":""QID10"",""choiceId"":""3""}","{""ImportId"":""QID10"",""choiceId"":""4""}","{""ImportId"":""QID10"",""choiceId"":""5""}","{""ImportId"":""QID10"",""choiceId"":""6""}","{""ImportId"":""QID10_6_TEXT""}","{""ImportId"":""QID11"",""choiceId"":""1""}","{""ImportId"":""QID11"",""choiceId"":""2""}","{""ImportId"":""QID11"",""choiceId"":""3""}","{""ImportId"":""QID11"",""choiceId"":""4""}","{""ImportId"":""QID11"",""choiceId"":""5""}","{""ImportId"":""QID11"",""choiceId"":""6""}","{""ImportId"":""QID11_6_TEXT""}","{""ImportId"":""disease""}","{""ImportId"":""FL_3_DO"",""choiceId"":""FL_8""}","{""ImportId"":""FL_3_DO"",""choiceId"":""FL_9""}","{""ImportId"":""FL_3_DO"",""choiceId"":""FL_10""}","{""ImportId"":""FL_13_DO"",""choiceId"":""main_survey_nurse_left""}","{""ImportId"":""FL_13_DO"",""choiceId"":""main_survey_robot_left""}"
2021-04-21 10:24:08,2021-04-21 10:26:29,IP Address,74.133.152.23,100,141,True,2021-04-21 10:26:29,R_2uy9LID6QtO965g,,,,,39.07049560546875,-84.51599884033203125,anonymous,EN,,,,,,,,,,,,,Unsure,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Not Permissible,Permissible,Permissible,Permissible,Permissible,2001,Finance,6,Male,,,,,,,White,,,,,,,mild anxiety,,1,,,1
2021-04-21 12:43:56,2021-04-21 12:48:17,IP Address,71.65.100.39,100,260,True,2021-04-21 12:48:17,R_1M3XxpAx9HX9Nz4,,,,,39.5081939697265625,-84.3986968994140625,anonymous,EN,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,,,,,,,,,,,,,2001,Business Finance,5,Male,,,,,,,,Black or African American,,,,,,migraine,,,1,1,
2021-04-21 13:07:12,2021-04-21 13:08:54,IP Address,216.8.206.17,100,101,True,2021-04-21 13:08:54,R_3fZuwrAYKZ57aEW,,,,,39.421295166015625,-84.99939727783203125,anonymous,EN,,,,,,,,,,,,,Not permissible,Permissible,Permissible,Permissible,Not permissible,Not permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,2002,Criminal Justice and Psychology,5,,Female,,,,,,White,,,,,,,acute schizophrenia,1,,,,1
2021-04-21 13:44:38,2021-04-21 13:48:01,IP Address,52.124.36.227,100,203,True,2021-04-21 13:48:02,R_BDNvcdEWsbQElz3,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,Unsure,Permissible,Permissible,Permissible,Not permissible,Unsure,Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,,,,,,,,,,,,,2002,Political Science,1,Male,,,,,,,White,,,,,,,acute schizophrenia,1,,,1,
2021-04-21 14:22:28,2021-04-21 14:24:47,IP Address,129.137.96.17,100,139,True,2021-04-21 14:24:47,R_1258LNobd8SBIBO,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,Permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,2001,Business Undecided,6,Male,,,,,,,White,,,,,,,mild anxiety,,1,,,1
2021-04-21 14:33:59,2021-04-21 14:35:59,IP Address,129.137.96.12,100,119,True,2021-04-21 14:35:59,R_1H7tVuBvkgYLYEK,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,Permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,2002,Biology,6,Male,,,,,,,White,,,,,,,migraine,,,1,,1
2021-04-21 14:38:29,2021-04-21 14:43:44,IP Address,74.83.61.198,100,315,True,2021-04-21 14:43:45,R_3F2U16N9IDpaqwX,,,,,39.235107421875,-84.45819854736328125,anonymous,EN,Not permissible,Permissible,Permissible,Unsure,Not permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,,,,,,,,,,,,,2002,Nursing,4,,Female,,,,,,,Black or African American,,,,,,acute schizophrenia,1,,,1,
2021-04-21 14:53:12,2021-04-21 14:56:39,IP Address,52.124.36.227,100,207,True,2021-04-21 14:56:39,R_3smNUCcZpQw0LLj,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,Not permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Permissible,,,,,,,,,,,,,2001,Information Technology,5,Male,,,,,,,White,,,,,,,migraine,,,1,1,
2021-04-21 16:19:48,2021-04-21 16:25:04,IP Address,74.140.16.161,100,316,True,2021-04-21 16:25:05,R_3O7ybgAUydi59ys,,,,,40.0847015380859375,-82.798797607421875,anonymous,EN,,,,,,,,,,,,,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Not Permissible,Not Permissible,Permissible,Not Permissible,Unsure,2002,nursing,4,,Female,,,,,,,Black or African American,,,,,,mild anxiety,,1,,,1
2021-04-21 17:23:50,2021-04-21 17:29:29,IP Address,129.137.96.18,100,338,True,2021-04-21 17:29:29,R_yyGpuZU777mSWyZ,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,Unsure,Permissible,Permissible,Permissible,Unsure,Permissible,Unsure,Permissible,Permissible,Permissible,Permissible,Unsure,,,,,,,,,,,,,2001,construction management,2,Male,,,,,,,White,,,,,Other,Middle Eastern,acute schizophrenia,1,,,1,
