StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Human1a,Human1b,Human2a,Human2b,Human3a,Human3b,Human4a,Human4b,Human5a,Human5b,Human6a,Human6b,Human7a,Human7b,Human8a,Human8b,Human9a,Human9b,Robot1a,Robot1b,Robot2a,Robot2b,Robot3a,Robot3b,Robot4a,Robot4b,Robot5a,Robot5b,Robot6a,Robot6b,Robot7a,Robot7b,Robot8a,Robot8b,Robot9a,Robot9b,Gender,Gender_DO,BirthYear,Country,WorkInHealtCare,WorkingWithRobots,Occupation,Occupation_6_TEXT,Comments,MTurkCode,Q58 - Topics,FL_26_DO,FL_30_DO,FL_31_DO,Human1_DO,Human2_DO,Human3_DO,Human4_DO,Human5_DO,Human6_DO,Human7_DO,Human8_DO,Human9_DO,Robot1_DO,Robot2_DO,Robot3_DO,Robot4_DO,Robot5_DO,Robot6_DO,Robot7_DO,Robot8_DO,Robot9_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"A patient requires an urgent injection. While getting the injection ready, the nurse is uncertain whether the patient has fully understood the potential side effects. However, the nurse proceeds.



​The nurse’s action ensures the patient’s well-being but contravenes the patient’s autonomy (no informed consent).



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A patient requires an urgent injection. While getting the injection ready, the nurse is uncertain whether the patient has fully understood the potential side effects. The nurse delays the injection and clearly informs the patient about the risks. 

 

The nurse’s action ensures the patient’s autonomy (informed consent) but endangers the patient’s well-being.



 Please rate your level of agreement/ disagreement with the nurse’s behavior.","The nurse urgently requires a medication for a patient (P1). It is stored in one of the examination rooms, currently occupied by another patient (P2) who is undressed for a physical check-up. Nonetheless, the nurse enters in order to get the medication.



​By doing so, the nurse ensures patient P1’s well-being but violates patient P2’s privacy.

 

Please rate your level of agreement/ disagreement with the nurse’s behavior.","The nurse urgently requires a medication for a patient (P1). It is stored in one of the examination rooms, currently occupied by another patient (P2) who is undressed for a physical check-up. The nurse waits outside until patient P2 leaves the room. 

 

By doing so, the nurse ensures patient P2’s privacy but endangers patient P1’s well-being.

 

Please rate your level of agreement/ disagreement with the nurse’s behavior.","There are two patients with the same condition. However, one of them is distressed due to the necessity to stay in the hospital overnight. The nurse decides to spend more time with the troubled patient. 

 

Thus, the nurse ensures the distressed patient’s well-being but neglects the rule that all patients should receive equal attention.

 

Please rate your level of agreement/ disagreement with the nurse’s behavior.","There are two patients with the same condition. However, one of them is more distressed due to the necessity to stay in the hospital overnight. The nurse decides to spend the same amount of time with each patient.



​Thus, the nurse ensures that all patients should receive equal attention but endangers the distressed patient’s well-being.

 

Please rate your level of agreement/ disagreement with the nurse’s behavior.","Shortly after a lung surgery, a nurse encounters the patient smoking a cigarette. The nurse explains him the risks of smoking in his condition, but the patient ignores the advice and refuses to stop. The nurse takes the cigarettes away from the patient and disposes of them.



​By doing so, the nurse ensures the patient’s well-being but violates the patient’s autonomy.


Please rate your level of agreement/ disagreement with the nurse’s behavior.","Shortly after a lung surgery, a nurse encounters the patient smoking a cigarette. The nurse explains him the risks of smoking in his condition, but the patient ignores the advice and refuses to stop. The nurse takes no further action.



​By doing so, the nurse respects the patient’s autonomy but endangers the patient’s well-being.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A patient requires to be monitored during his sleep. As the patient occasionally talks and cries in her/his sleep, she/he is reluctant to be monitored. The nurse ignores her/his concerns and enters the room after the patient has fallen asleep.



​The nurse’s action ensures the patient’s well-being but breaches the patient’s privacy.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A patient requires to be monitored during his sleep. As the patient occasionally talks and cries in her/his sleep, she/he is reluctant to be monitored, and the nurse refrains from doing so.

 

The nurse’s action ensures the patient’s privacy but endangers the patient’s well-being.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","The nurse discovers that a patient passes on an expensive medication to one of her/his children. The child suffers from an early stage of the same disease, but does not yet qualify to receive this treatment. The nurse does not report this incident.



​By doing so the nurse ensures the child’s well-being but acts against a fair and just distribution of the treatment.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","The nurse discovers that a patient passes on an expensive medication to one of her/his children. The child suffers from an early stage of the same disease, but does not yet qualify to receive this treatment. The nurse reports this incident.



​By doing so the nurse ensures a fair and just distribution of the medication but endangers the child’s well-being.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A patient suffers from a disease that causes severe physical pain and often results in the patient's death. The only available treatment causes additional distress and has only a marginal chance for success. The patient decides that undergoing the treatment would not be a life worth living and refuses treatment. The responsible doctor is convinced that even though the chances are small, the patient should not give up on life. The doctor instructs the nurse to carry out the treatment secretly and the nurse complies.



​By doing so the nurse ensures the patient’s well-being but ignores the patient’s autonomy.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A patient suffers from a disease that causes severe physical pain and often results in the patient's death. The only available treatment causes additional distress and has only a marginal chance for success. The patient decides that undergoing the treatment would not be a life worth living and refuses treatment. The responsible doctor is convinced that even though the chances are small, the patient should not give up on life. The doctor instructs the nurse to carry out the treatment secretly but the nurse refuses to comply.



​By doing so, the nurse respects the patient’s autonomy but endangers the patient’s well-being.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","An elderly patient is diagnosed with a terminal disease, leaving her/him little time to live. The patient decides not to inform her/his family as she/he does not want them to be worried. Nevertheless, the nurse notifies them, so that the patient can spend her/his last days amongst close family.



​By doing so the nurse promotes the patient’s well-being but breaches patient confidentiality.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","An elderly patient is diagnosed with a terminal disease, leaving her/him little time to live. The patient decides not to inform her/his family as she/he does not want them to be worried. The nurse does not notify them, even though that means for the patient to spend her/his last days alone without the family.



​By doing so the nurse protects the patient confidentiality but compromises the patient’s well-being.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A doctor asks the nurse to add a patient to the waiting list for an organ transplant, although the patient does not yet need it. The intention is that by the time the patient will urgently require the organ, she/he will be amongst the next scheduled recipients. The nurse registers the patient.



​By doing so the nurse ensures the patient’s well-being but hinders the fair and just distribution of the organ donation program.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A doctor asks the nurse to add a patient to the waiting list for an organ transplant, although the patient does not yet need it. The intention is that by the time the patient will urgently require the organ, she/he will be amongst the next scheduled recipients. The nurse does not register the patient.



​By doing so the nurse ensures the fair and just distribution of the organ donation program but risks the patient’s well-being.



Please rate your level of agreement/ disagreement with the nurse’s behavior.","A patient requires an urgent injection. While getting the injection ready, the robot-nurse is uncertain whether the patient has fully understood the potential side effects. However, the robot proceeds.



​The robot´s action ensures the patient’s well-being but contravenes the patient’s autonomy (no informed consent).



Please rate your level of agreement/ disagreement with the robot’s behavior.","A patient requires an urgent injection. While getting the injection ready, the robot-nurse is uncertain whether the patient has fully understood the potential side effects. The robot delays the injection and clearly informs the patient about the risks. 

 

The robot’s action ensures the patient’s autonomy (informed consent) but endangers the patient’s well-being.



Please rate your level of agreement/ disagreement with the robot’s behavior.","The robot-nurse urgently requires a medication for a patient (P1). It is stored in one of the examination rooms, currently occupied by another patient (P2) who is undressed for a physical check-up. Nonetheless, the robot enters in order to get the medication.



​By doing so, the robot ensures patient P1’s well-being but violates patient P2’s privacy.



Please rate your level of agreement/ disagreement with the robot’s behavior.","The robot-nurse urgently requires a medication for a patient (P1). It is stored in one of the examination rooms, currently occupied by another patient (P2) who is undressed for a physical check-up. The robot waits outside until patient P2 leaves the room.



​By doing so, the robot ensures patient P2’s privacy but endangers patient P1’s well-being.



Please rate your level of agreement/ disagreement with the robot’s behavior.","There are two patients with the same condition. However, one of them is distressed due to the necessity to stay in the hospital overnight. The robot-nurse decides to spend more time with the troubled patient.



​Thus, the robot ensures the distressed patient’s well-being but neglects the principle that all patients should receive equal attention.



Please rate your level of agreement/ disagreement with the robot’s behavior.","There are two patients with the same condition. However, one of them is more distressed due to the necessity to stay in the hospital overnight. The robot-nurse decides to spend the same amount of time with each patient.



​Thus, the robot ensures that all patients should receive equal attention but endangers the distressed patient’s well-being.



Please rate your level of agreement/ disagreement with the robot’s behavior.","Shortly after a lung surgery, a robot-nurse encounters the patient smoking a cigarette. The robot explains him the risks of smoking in his condition, but the patient ignores the advice and refuses to stop. The robot takes the cigarettes away from the patient and disposes of them.



​By doing so, the robot ensures the patient’s well-being but violates the patient’s autonomy.



Please rate your level of agreement/ disagreement with the robot’s behavior.","Shortly after a lung surgery, a robot-nurse encounters the patient smoking a cigarette. The robot explains him the risks of smoking in his condition, but the patient ignores the advice and refuses to stop. The robot takes no further action.



​By doing so, the robot respects the patient’s autonomy but endangers the patient’s well-being.



Please rate your level of agreement/ disagreement with the robot’s behavior.","A patient requires to be monitored during his sleep. As the patient occasionally talks and cries in her/his sleep, she/he is reluctant to be monitored. The robot-nurse ignores her/his concerns and enters the room after the patient has fallen asleep.



​The robot’s action ensures the patient’s well-being but breaches the patient’s privacy.



Please rate your level of agreement/ disagreement with the robot’s behavior.","A patient requires to be monitored during his sleep. As the patient occasionally talks and cries in her/his sleep, she/he is reluctant to be monitored, and the robot-nurse refrains from doing so.



​The robot’s action ensures the patient’s privacy but endangers the patient’s well-being.



Please rate your level of agreement/ disagreement with the robot’s behavior.","The robot-nurse discovers that a patient passes on an expensive medication to one of her/his children. The child suffers from an early stage of the same disease, but does not yet qualify to receive this treatment. The robot does not report this incident.



​By doing so the robot ensures the child’s well-being but acts against a fair and just distribution of the treatment.



Please rate your level of agreement/ disagreement with the robot’s behavior.","The robot-nurse discovers that a patient passes on an expensive medication to one of her/his children. The child suffers from an early stage of the same disease, but does not yet qualify to receive this treatment. The robot reports this incident.



​By doing so the robot ensures a fair and just distribution of the medication but endangers the child’s well-being.



Please rate your level of agreement/ disagreement with the robot’s behavior.","A patient suffers from a disease that causes severe physical pain and often results in the patient's death. The only available treatment causes additional distress and has only a marginal chance for success. The patient decides that undergoing the treatment would not be a life worth living and refuses treatment. The responsible doctor is convinced that even though the chances are small, the patient should not give up on life. The doctor instructs the robot-nurse to carry out the treatment secretly and the robot complies. 

 

By doing so the robot ensures the patient’s well-being but ignores the patient’s autonomy.



Please rate your level of agreement/ disagreement with the robot’s behavior.","A patient suffers from a disease that causes severe physical pain and often results in the patient's death. The only available treatment causes additional distress and has only a marginal chance for success. The patient decides that undergoing the treatment would not be a life worth living and refuses treatment. The responsible doctor is convinced that even though the chances are small, the patient should not give up on life. The doctor instructs the robot-nurse to carry out the treatment secretly but the robot refuses to comply.



​By doing so, the robot respects the patient’s autonomy but endangers the patient’s well-being.

 



Please rate your level of agreement/ disagreement with the robot’s behavior.","An elderly patient is diagnosed with a terminal disease, leaving her/him little time to live. The patient decides not to inform her/his family as she/he does not want them to be worried. Nevertheless, the robot-nurse notifies them, so that the patient can spend her/his last days amongst close family.



​By doing so the robot promotes the patient’s well-being but breaches patient confidentiality.



Please rate your level of agreement/ disagreement with the robot’s behavior.","An elderly patient is diagnosed with a terminal disease, leaving her/him little time to live. The patient decides not to inform her/his family as she/he does not want them to be worried. The robot-nurse does not notify them, even though that means for the patient to spend her/his last days alone without the family.



​By doing so the robot protects the patient confidentiality but compromises the patient’s well-being.



Please rate your level of agreement/ disagreement with the robot’s behavior.","A doctor asks the robot-nurse to add a patient to the waiting list for an organ transplant, although the patient does not yet need it. The intention is that by the time the patient will urgently require the organ, she/he will be amongst the next scheduled recipients. The robot registers the patient.



​By doing so the robot ensures the patient’s well-being but hinders the fair and just distribution of the organ donation program.

 

Please rate your level of agreement/ disagreement with the robot’s behavior.","A doctor asks the robot-nurse to add a patient to the waiting list for an organ transplant, although the patient does not yet need it. The intention is that by the time the patient will urgently require the organ, she/he will be amongst the next scheduled recipients. The robot does not register the patient.



​By doing so the robot ensures the fair and just distribution of the organ donation program but risks the patient’s well-being. 



Please rate your level of agreement/ disagreement with the robot’s behavior.","Your background



What is your gender?","Your background



What is your gender? - Display Order",What year were you born?,In which country do you reside?,"Do you work in the health care sector? (e.g. doctor, nurse, therapist)","Do you work in the sector on robot research and/or production (e.g. engineer, programmer, researcher, company manager?)",Please indicate your current main occupation - Selected Choice,Please indicate your current main occupation - other - Text,Please provide in the box below any further comments or suggestions on this questionnaire and our research.,MTurkCode,Q58 - Topics,FL_26 - Block Randomizer - Display Order,FL_30 - Block Randomizer - Display Order,FL_31 - Block Randomizer - Display Order,Human1 - Display Order,Human2 - Display Order,Human3 - Display Order,Human4 - Display Order,Human 5 - Display Order,Human6 - Display Order,Human7 - Display Order,Human8 - Display Order,Human9 - Display Order,Robot1 - Display Order,Robot2 - Display Order,Robot3 - Display Order,Robot4 - Display Order,Robot5 - Display Order,Robot6 - Display Order,Robot7 - Display Order,Robot8 - Display Order,Robot9 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_DO""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_6_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""QID48_TEXT_fb400651b3c243b881c1e176Topic0""}","{""ImportId"":""FL_26_DO""}","{""ImportId"":""FL_30_DO""}","{""ImportId"":""FL_31_DO""}","{""ImportId"":""BL_cvcdZHi2Y14xvwx_DO""}","{""ImportId"":""BL_6QzJWkzCK0E1EfX_DO""}","{""ImportId"":""BL_4SMgKDnmwSYa1nL_DO""}","{""ImportId"":""BL_eUKnC4PeN3EKKMJ_DO""}","{""ImportId"":""BL_cu3IOIfTaKEuDxb_DO""}","{""ImportId"":""BL_aguLkIGBuk8kLKR_DO""}","{""ImportId"":""BL_bdNCU1wqYfVJ88t_DO""}","{""ImportId"":""BL_0Haw6YSp7feHrFP_DO""}","{""ImportId"":""BL_7NThbqE4eJ0u8Pb_DO""}","{""ImportId"":""BL_553pX9CQdbxbHBX_DO""}","{""ImportId"":""BL_1HTGbeFc3c1PRwF_DO""}","{""ImportId"":""BL_2bhYglGwigFP189_DO""}","{""ImportId"":""BL_3as2YS8mc01wgFT_DO""}","{""ImportId"":""BL_eCF7paW1vDPznzD_DO""}","{""ImportId"":""BL_558h4fFm5vzNCV7_DO""}","{""ImportId"":""BL_6KJnqNr3itKUcMB_DO""}","{""ImportId"":""BL_88J6TdpCBvtztsx_DO""}","{""ImportId"":""BL_bfNX8ar63AKNhDD_DO""}"
2016-06-09 15:29:50,2016-06-09 15:35:04,IP Address,84.176.125.185,100,314,True,2016-06-09 15:35:05,R_Cl9d4iufhETRZZf,,,,,53.550003051758,10,anonymous,EN,I somewhat agree,,I disagree,,I agree,,,I disagree,I agree,,I strongly agree,,,I strongly agree,,I strongly disagree,,I strongly agree,,,,,,,,,,,,,,,,,,,Female,Male|Female,1981,"Germany ",No,No,Student,,,,,Intro_Human,Human2|Human3|Human9|Human1|Human7|Human5|Human6|Human8|Human4,,Human1a,Human2a,Human3a,Human4b,Human5a,Human6a,Human7b,Human8b,Human9b,,,,,,,,,
2016-06-09 16:29:26,2016-06-09 16:38:35,IP Address,217.93.28.112,100,548,True,2016-06-09 16:38:35,R_1mUiAKVOhsnYHPi,,,,,53.550003051758,10,anonymous,EN,I disagree,,I strongly disagree,,I disagree,,I agree,,I disagree,,,I strongly agree,,I agree,,I strongly agree,,I somewhat agree,,,,,,,,,,,,,,,,,,,Female,Female|Male,1989,"Germany ",No,No,Student,,,,,Intro_Human,Human6|Human3|Human4|Human2|Human9|Human8|Human1|Human7|Human5,,Human1a,Human2a,Human3a,Human4a,Human5a,Human6b,Human7b,Human8b,Human9b,,,,,,,,,
2016-06-09 17:13:44,2016-06-09 17:19:18,IP Address,136.172.120.19,100,333,True,2016-06-09 17:19:19,R_31yZfEDtvN7GFpb,,,,,53.550003051758,10,anonymous,EN,,,,,,,,,,,,,,,,,,,,I agree,,I strongly disagree,I strongly agree,,,I disagree,I somewhat agree,,I agree,,I somewhat agree,,I agree,,I disagree,,Male,Male|Female,1983,"Germany ",No,No,Employee,,,,,IntroRobot,,Robot1|Robot2|Robot4|Robot7|Robot8|Robot6|Robot5|Robot9|Robot3,,,,,,,,,,Robot1b,Robot2b,Robot3a,Robot4b,Robot5a,Robot6a,Robot7a,Robot8a,Robot9a
2016-06-11 11:33:37,2016-06-11 11:51:36,IP Address,78.43.43.113,100,1078,True,2016-06-11 11:51:37,R_24Ah7VDjjxWzYkO,,,,,47.572296142578,7.7841949462891,anonymous,EN,,,,,,,,,,,,,,,,,,,,I somewhat agree,I agree,,I somewhat agree,,,I neither agree nor disagree,I agree,,I agree,,,I somewhat disagree,I somewhat agree,,I neither agree nor disagree,,Male,Male|Female,1982,"Germany ",No,No,Employee,,,,,IntroRobot,,Robot8|Robot7|Robot2|Robot6|Robot5|Robot3|Robot4|Robot9|Robot1,,,,,,,,,,Robot1b,Robot2a,Robot3a,Robot4b,Robot5a,Robot6a,Robot7b,Robot8a,Robot9a
2016-06-11 14:51:32,2016-06-11 15:07:16,IP Address,89.204.153.208,100,944,True,2016-06-11 15:07:17,R_1lzy946diicGqu0,,,,,51,9,anonymous,EN,,I disagree,I agree,,,I disagree,,I somewhat disagree,I agree,,I strongly agree,,I disagree,,I disagree,,,I disagree,,,,,,,,,,,,,,,,,,,Female,Male|Female,1981,"Germany ",No,No,Employee,,Difficult to answer the questions without being on or having been in similar situations.,,Unknown,Intro_Human,Human6|Human5|Human8|Human4|Human9|Human3|Human2|Human1|Human7,,Human1b,Human2a,Human3b,Human4b,Human5a,Human6a,Human7a,Human8a,Human9b,,,,,,,,,
2016-06-11 21:58:06,2016-06-11 22:19:03,IP Address,209.36.33.4,100,1256,True,2016-06-11 22:19:04,R_3lMJNMruh1T7b11,,,,,34.043792724609,-118.25120544434,anonymous,EN,,I strongly agree,,I strongly disagree,,I disagree,I strongly agree,,I agree,,,I disagree,I disagree,,,I disagree,I somewhat disagree,,,,,,,,,,,,,,,,,,,,Female,Female|Male,1981,"United States ",No,No,Employee,,,,,Intro_Human,Human9|Human6|Human8|Human5|Human7|Human4|Human2|Human3|Human1,,Human1b,Human2b,Human3b,Human4a,Human5a,Human6b,Human7a,Human8b,Human9a,,,,,,,,,
2016-06-12 18:28:44,2016-06-12 18:32:42,IP Address,87.147.158.104,100,238,True,2016-06-12 18:32:43,R_1oAoLA0XL2Xpuxa,,,,,53.550003051758,10,anonymous,EN,,I agree,,I agree,,I somewhat agree,,I agree,I somewhat disagree,,I somewhat agree,,I neither agree nor disagree,,I somewhat disagree,,I neither agree nor disagree,,,,,,,,,,,,,,,,,,,,Female,Female|Male,1992,"Belarus ",No,No,Student,,,,,Intro_Human,Human7|Human5|Human6|Human1|Human8|Human3|Human9|Human4|Human2,,Human1b,Human2b,Human3b,Human4b,Human5a,Human6a,Human7a,Human8a,Human9a,,,,,,,,,
2016-06-12 18:32:33,2016-06-12 18:40:34,IP Address,78.50.210.184,100,480,True,2016-06-12 18:40:35,R_22VxhfIpgEa8e7i,,,,,53.550003051758,10,anonymous,EN,I disagree,,I agree,,I strongly disagree,,I strongly disagree,,,I neither agree nor disagree,I neither agree nor disagree,,I disagree,,I disagree,,I agree,,,,,,,,,,,,,,,,,,,,Female,Female|Male,1989,"Germany ",No,No,Student,,,,,Intro_Human,Human9|Human7|Human6|Human3|Human5|Human2|Human1|Human4|Human8,,Human1a,Human2a,Human3a,Human4a,Human5b,Human6a,Human7a,Human8a,Human9a,,,,,,,,,
